Input directory: /scratch/indrisch/vllm_experiments/data/ScanNet/scans
Output directory: /scratch/indrisch/vllm_experiments/data_h5py/ScanNet/scans
Scene pattern: scene*_*
Color folder: color
Image extension: .jpg
H5py filename: images.hdf5
JSON filename: image_mapping.json
Number of workers: 32
Found 650 scene folders total
Processing 650 scenes
Using 32 worker processes for parallel processing
Processed scene0179_00: 1225 images saved to images.hdf5
Processed scene0204_00: 959 images saved to images.hdf5
Processed scene0221_00: 977 images saved to images.hdf5
Processed scene0243_00: 1726 images saved to images.hdf5
Processed scene0271_00: 1909 images saved to images.hdf5
Processed scene0305_00: 2503 images saved to images.hdf5
Processed scene0366_00: 1037 images saved to images.hdf5
Processed scene0385_00: 1379 images saved to images.hdf5
Processed scene0416_00: 2111 images saved to images.hdf5
Processed scene0463_00: 1195 images saved to images.hdf5
Processed scene0488_00: 598 images saved to images.hdf5
Processed scene0501_00: 1928 images saved to images.hdf5
Processed scene0540_00: 1018 images saved to images.hdf5
Processed scene0564_00: 3521 images saved to images.hdf5
Processed scene0628_00: 1193 images saved to images.hdf5
Processed scene0655_00: 1107 images saved to images.hdf5
Processed scene0673_00: 2245 images saved to images.hdf5
Processed scene0003_00: 1736 images saved to images.hdf5
Processed scene0052_00: 991 images saved to images.hdf5
Processed scene0077_00: 604 images saved to images.hdf5
Processed scene0085_00: 2197 images saved to images.hdf5
Processed scene0139_00: 1355 images saved to images.hdf5
Processed scene0171_00: 863 images saved to images.hdf5
Processed scene0194_00: 1407 images saved to images.hdf5
Processed scene0214_00: 1130 images saved to images.hdf5
Processed scene0238_00: 586 images saved to images.hdf5
Processed scene0253_00: 1562 images saved to images.hdf5
Processed scene0283_00: 939 images saved to images.hdf5
Processed scene0295_00: 1113 images saved to images.hdf5
Processed scene0322_00: 1261 images saved to images.hdf5
Processed scene0351_00: 1462 images saved to images.hdf5
Processed scene0386_00: 2087 images saved to images.hdf5
Processed scene0434_00: 1816 images saved to images.hdf5
Processed scene0474_00: 1631 images saved to images.hdf5
Processed scene0509_00: 1158 images saved to images.hdf5
Processed scene0529_00: 2344 images saved to images.hdf5
Processed scene0577_00: 1398 images saved to images.hdf5
Processed scene0601_00: 1643 images saved to images.hdf5
Processed scene0630_00: 558 images saved to images.hdf5
Processed scene0649_00: 1618 images saved to images.hdf5
Processed scene0677_00: 2347 images saved to images.hdf5
Processed scene0019_00: 579 images saved to images.hdf5
Processed scene0034_00: 875 images saved to images.hdf5
Processed scene0049_00: 1710 images saved to images.hdf5
Processed scene0084_00: 1972 images saved to images.hdf5
Processed scene0127_00: 1273 images saved to images.hdf5
Processed scene0160_00: 804 images saved to images.hdf5
Processed scene0178_00: 3057 images saved to images.hdf5
Processed scene0240_00: 1038 images saved to images.hdf5
Processed scene0264_00: 1603 images saved to images.hdf5
Processed scene0292_00: 877 images saved to images.hdf5
Processed scene0300_00: 1747 images saved to images.hdf5
Processed scene0342_00: 929 images saved to images.hdf5
Processed scene0365_00: 1527 images saved to images.hdf5
Processed scene0398_00: 1278 images saved to images.hdf5
Processed scene0428_00: 1568 images saved to images.hdf5
Processed scene0464_00: 1951 images saved to images.hdf5
Processed scene0505_00: 3880 images saved to images.hdf5
Processed scene0585_00: 2820 images saved to images.hdf5
Processed scene0642_00: 4206 images saved to images.hdf5
Processed scene0021_00: 1004 images saved to images.hdf5
Processed scene0040_00: 2948 images saved to images.hdf5
Processed scene0106_00: 2324 images saved to images.hdf5
Processed scene0162_00: 1066 images saved to images.hdf5
Processed scene0187_00: 2267 images saved to images.hdf5
Processed scene0229_00: 911 images saved to images.hdf5
Processed scene0254_00: 1074 images saved to images.hdf5
Processed scene0273_00: 1985 images saved to images.hdf5
Processed scene0310_00: 870 images saved to images.hdf5
Processed scene0329_00: 1559 images saved to images.hdf5
Processed scene0367_00: 871 images saved to images.hdf5
Processed scene0387_00: 851 images saved to images.hdf5
Processed scene0409_00: 1118 images saved to images.hdf5
Processed scene0435_00: 3273 images saved to images.hdf5
Processed scene0503_00: 986 images saved to images.hdf5
Processed scene0527_00: 673 images saved to images.hdf5
Processed scene0537_00: 1160 images saved to images.hdf5
Processed scene0563_00: 1679 images saved to images.hdf5
Processed scene0593_00: 2297 images saved to images.hdf5
Processed scene0631_00: 899 images saved to images.hdf5
Processed scene0654_00: 1624 images saved to images.hdf5
Processed scene0685_00: 1958 images saved to images.hdf5
Processed scene0002_00: 5193 images saved to images.hdf5
Processed scene0137_00: 1839 images saved to images.hdf5
Processed scene0180_00: 1329 images saved to images.hdf5
Processed scene0202_00: 1099 images saved to images.hdf5
Processed scene0223_00: 1031 images saved to images.hdf5
Processed scene0245_00: 1045 images saved to images.hdf5
Processed scene0267_00: 695 images saved to images.hdf5
Processed scene0281_00: 1847 images saved to images.hdf5
Processed scene0311_00: 1250 images saved to images.hdf5
Processed scene0347_00: 1080 images saved to images.hdf5
Processed scene0369_00: 1176 images saved to images.hdf5
Processed scene0394_00: 4162 images saved to images.hdf5
Processed scene0487_00: 2991 images saved to images.hdf5
Processed scene0549_00: 830 images saved to images.hdf5
Processed scene0567_00: 2602 images saved to images.hdf5
Processed scene0612_00: 1059 images saved to images.hdf5
Processed scene0637_00: 615 images saved to images.hdf5
Processed scene0653_00: 3879 images saved to images.hdf5
Processed scene0004_00: 929 images saved to images.hdf5
Processed scene0037_00: 1079 images saved to images.hdf5
Processed scene0058_00: 1022 images saved to images.hdf5
Processed scene0080_00: 1124 images saved to images.hdf5
Processed scene0109_00: 1333 images saved to images.hdf5
Processed scene0140_00: 4294 images saved to images.hdf5
Processed scene0235_00: 2258 images saved to images.hdf5
Processed scene0282_00: 1656 images saved to images.hdf5
Processed scene0308_00: 1468 images saved to images.hdf5
Processed scene0346_00: 564 images saved to images.hdf5
Processed scene0358_00: 2327 images saved to images.hdf5
Processed scene0410_00: 1438 images saved to images.hdf5
Processed scene0440_00: 1153 images saved to images.hdf5
Processed scene0468_00: 1967 images saved to images.hdf5
Processed scene0510_00: 1661 images saved to images.hdf5
Processed scene0538_00: 3528 images saved to images.hdf5
Processed scene0604_00: 1386 images saved to images.hdf5
Processed scene0639_00: 624 images saved to images.hdf5
Processed scene0652_00: 1439 images saved to images.hdf5
Processed scene0678_00: 2449 images saved to images.hdf5
Processed scene0008_00: 1038 images saved to images.hdf5
Processed scene0039_00: 1184 images saved to images.hdf5
Processed scene0060_00: 1187 images saved to images.hdf5
Processed scene0089_00: 1040 images saved to images.hdf5
Processed scene0115_00: 1062 images saved to images.hdf5
Processed scene0141_00: 947 images saved to images.hdf5
Processed scene0164_00: 1882 images saved to images.hdf5
Processed scene0203_00: 1459 images saved to images.hdf5
Processed scene0232_00: 2242 images saved to images.hdf5
Processed scene0278_00: 792 images saved to images.hdf5
Processed scene0294_00: 3184 images saved to images.hdf5
Processed scene0362_00: 1727 images saved to images.hdf5
Processed scene0400_00: 1261 images saved to images.hdf5
Processed scene0430_00: 2305 images saved to images.hdf5
Processed scene0480_00: 935 images saved to images.hdf5
Processed scene0499_00: 5508 images saved to images.hdf5
Processed scene0611_00: 1186 images saved to images.hdf5
Processed scene0633_00: 1596 images saved to images.hdf5
Processed scene0663_00: 2946 images saved to images.hdf5
Processed scene0012_00: 5347 images saved to images.hdf5
Processed scene0138_00: 2015 images saved to images.hdf5
Processed scene0188_00: 2524 images saved to images.hdf5
Processed scene0236_00: 1772 images saved to images.hdf5
Processed scene0272_00: 1664 images saved to images.hdf5
Processed scene0302_00: 1278 images saved to images.hdf5
Processed scene0328_00: 1411 images saved to images.hdf5
Processed scene0364_00: 1407 images saved to images.hdf5
Processed scene0393_00: 1208 images saved to images.hdf5
Processed scene0424_00: 1554 images saved to images.hdf5
Processed scene0458_00: 1985 images saved to images.hdf5
Processed scene0500_00: 2182 images saved to images.hdf5
Processed scene0551_00: 1549 images saved to images.hdf5
Processed scene0578_00: 1484 images saved to images.hdf5
Processed scene0603_00: 3072 images saved to images.hdf5
Processed scene0668_00: 1173 images saved to images.hdf5
Processed scene0693_00: 1732 images saved to images.hdf5
Processed scene0024_00: 3398 images saved to images.hdf5
Processed scene0091_00: 1550 images saved to images.hdf5
Processed scene0126_00: 1663 images saved to images.hdf5
Processed scene0168_00: 1210 images saved to images.hdf5
Processed scene0197_00: 2102 images saved to images.hdf5
Processed scene0231_00: 4439 images saved to images.hdf5
Processed scene0324_00: 1229 images saved to images.hdf5
Processed scene0353_00: 2981 images saved to images.hdf5
Processed scene0420_00: 1393 images saved to images.hdf5
Processed scene0448_00: 3034 images saved to images.hdf5
Processed scene0517_00: 2839 images saved to images.hdf5
Processed scene0574_00: 1024 images saved to images.hdf5
Processed scene0594_00: 769 images saved to images.hdf5
Processed scene0606_00: 2492 images saved to images.hdf5
Processed scene0657_00: 1263 images saved to images.hdf5
Processed scene0675_00: 849 images saved to images.hdf5
Processed scene0690_00: 900 images saved to images.hdf5
Processed scene0705_00: 1131 images saved to images.hdf5
Processed scene0020_00: 1280 images saved to images.hdf5
Processed scene0046_00: 2481 images saved to images.hdf5
Processed scene0097_00: 756 images saved to images.hdf5
Processed scene0112_00: 880 images saved to images.hdf5
Processed scene0133_00: 895 images saved to images.hdf5
Processed scene0152_00: 2105 images saved to images.hdf5
Processed scene0206_00: 1818 images saved to images.hdf5
Processed scene0242_00: 1364 images saved to images.hdf5
Processed scene0270_00: 2464 images saved to images.hdf5
Processed scene0315_00: 1475 images saved to images.hdf5
Processed scene0352_00: 920 images saved to images.hdf5
Processed scene0371_00: 839 images saved to images.hdf5
Processed scene0390_00: 2631 images saved to images.hdf5
Processed scene0447_00: 1040 images saved to images.hdf5
Processed scene0475_00: 917 images saved to images.hdf5
Processed scene0492_00: 1985 images saved to images.hdf5
Processed scene0533_00: 2931 images saved to images.hdf5
Processed scene0591_00: 1724 images saved to images.hdf5
Processed scene0620_00: 828 images saved to images.hdf5
Processed scene0644_00: 2007 images saved to images.hdf5
Processed scene0682_00: 1336 images saved to images.hdf5
Processed scene0696_00: 1300 images saved to images.hdf5
Processed scene0025_00: 1945 images saved to images.hdf5
Processed scene0056_00: 1994 images saved to images.hdf5
Processed scene0103_00: 836 images saved to images.hdf5
Processed scene0119_00: 932 images saved to images.hdf5
Processed scene0142_00: 2434 images saved to images.hdf5
Processed scene0199_00: 1810 images saved to images.hdf5
Processed scene0230_00: 321 images saved to images.hdf5
Processed scene0239_00: 1459 images saved to images.hdf5
Processed scene0268_00: 833 images saved to images.hdf5
Processed scene0288_00: 1672 images saved to images.hdf5
Processed scene0316_00: 770 images saved to images.hdf5
Processed scene0332_00: 1750 images saved to images.hdf5
Processed scene0374_00: 1644 images saved to images.hdf5
Processed scene0413_00: 1854 images saved to images.hdf5
Processed scene0453_00: 724 images saved to images.hdf5
Processed scene0470_00: 719 images saved to images.hdf5
Processed scene0483_00: 2719 images saved to images.hdf5
Processed scene0532_00: 598 images saved to images.hdf5
Processed scene0544_00: 1135 images saved to images.hdf5
Processed scene0568_00: 1651 images saved to images.hdf5
Processed scene0599_00: 1890 images saved to images.hdf5
Processed scene0634_00: 1876 images saved to images.hdf5
Processed scene0672_00: 2854 images saved to images.hdf5
Processed scene0006_00: 2160 images saved to images.hdf5
Processed scene0059_00: 1807 images saved to images.hdf5
Processed scene0107_00: 2365 images saved to images.hdf5
Processed scene0151_00: 4551 images saved to images.hdf5
Processed scene0256_00: 1556 images saved to images.hdf5
Processed scene0284_00: 1665 images saved to images.hdf5
Processed scene0309_00: 1309 images saved to images.hdf5
Processed scene0343_00: 1233 images saved to images.hdf5
Processed scene0370_00: 1871 images saved to images.hdf5
Processed scene0417_00: 1295 images saved to images.hdf5
Processed scene0442_00: 1443 images saved to images.hdf5
Processed scene0477_00: 4401 images saved to images.hdf5
Processed scene0570_00: 562 images saved to images.hdf5
Processed scene0579_00: 712 images saved to images.hdf5
Processed scene0595_00: 751 images saved to images.hdf5
Processed scene0605_00: 639 images saved to images.hdf5
Processed scene0619_00: 2241 images saved to images.hdf5
Processed scene0670_00: 3028 images saved to images.hdf5
Processed scene0033_00: 1422 images saved to images.hdf5
Processed scene0048_00: 1126 images saved to images.hdf5
Processed scene0070_00: 1322 images saved to images.hdf5
Processed scene0098_00: 1489 images saved to images.hdf5
Processed scene0131_00: 1079 images saved to images.hdf5
Processed scene0155_00: 2695 images saved to images.hdf5
Processed scene0213_00: 2191 images saved to images.hdf5
Processed scene0265_00: 1430 images saved to images.hdf5
Processed scene0291_00: 1794 images saved to images.hdf5
Processed scene0326_00: 672 images saved to images.hdf5
Processed scene0340_00: 1606 images saved to images.hdf5
Processed scene0376_00: 922 images saved to images.hdf5
Processed scene0395_00: 2579 images saved to images.hdf5
Processed scene0457_00: 2543 images saved to images.hdf5
Processed scene0513_00: 1710 images saved to images.hdf5
Processed scene0545_00: 843 images saved to images.hdf5
Processed scene0565_00: 1065 images saved to images.hdf5
Processed scene0584_00: 1942 images saved to images.hdf5
Processed scene0617_00: 1301 images saved to images.hdf5
Processed scene0648_00: 4187 images saved to images.hdf5
Processed scene0031_00: 2756 images saved to images.hdf5
Processed scene0078_00: 616 images saved to images.hdf5
Processed scene0090_00: 534 images saved to images.hdf5
Processed scene0104_00: 1042 images saved to images.hdf5
Processed scene0122_00: 976 images saved to images.hdf5
Processed scene0145_00: 1326 images saved to images.hdf5
Processed scene0177_00: 2389 images saved to images.hdf5
Processed scene0225_00: 1379 images saved to images.hdf5
Processed scene0258_00: 188 images saved to images.hdf5
Processed scene0262_00: 2924 images saved to images.hdf5
Processed scene0314_00: 928 images saved to images.hdf5
Processed scene0338_00: 804 images saved to images.hdf5
Processed scene0356_00: 1360 images saved to images.hdf5
Processed scene0389_00: 1415 images saved to images.hdf5
Processed scene0419_00: 4453 images saved to images.hdf5
Processed scene0522_00: 1159 images saved to images.hdf5
Processed scene0542_00: 2087 images saved to images.hdf5
Processed scene0582_00: 2023 images saved to images.hdf5
Processed scene0618_00: 891 images saved to images.hdf5
Processed scene0640_00: 2902 images saved to images.hdf5
Processed scene0694_00: 1820 images saved to images.hdf5
Processed scene0026_00: 2672 images saved to images.hdf5
Processed scene0072_00: 1194 images saved to images.hdf5
Processed scene0100_00: 1016 images saved to images.hdf5
Processed scene0121_00: 1796 images saved to images.hdf5
Processed scene0169_00: 2034 images saved to images.hdf5
Processed scene0212_00: 1851 images saved to images.hdf5
Processed scene0249_00: 2734 images saved to images.hdf5
Processed scene0299_00: 1300 images saved to images.hdf5
Processed scene0327_00: 2233 images saved to images.hdf5
Processed scene0383_00: 1124 images saved to images.hdf5
Processed scene0407_00: 1078 images saved to images.hdf5
Processed scene0433_00: 1278 images saved to images.hdf5
Processed scene0460_00: 992 images saved to images.hdf5
Processed scene0479_00: 714 images saved to images.hdf5
Processed scene0495_00: 1067 images saved to images.hdf5
Processed scene0519_00: 1280 images saved to images.hdf5
Processed scene0541_00: 1407 images saved to images.hdf5
Processed scene0575_00: 2933 images saved to images.hdf5
Processed scene0626_00: 635 images saved to images.hdf5
Processed scene0641_00: 1394 images saved to images.hdf5
Processed scene0662_00: 1927 images saved to images.hdf5
Processed scene0698_00: 1879 images saved to images.hdf5
Processed scene0009_00: 980 images saved to images.hdf5
Processed scene0038_00: 1149 images saved to images.hdf5
Processed scene0061_00: 1923 images saved to images.hdf5
Processed scene0108_00: 561 images saved to images.hdf5
Processed scene0118_00: 625 images saved to images.hdf5
Processed scene0135_00: 1204 images saved to images.hdf5
Processed scene0167_00: 2054 images saved to images.hdf5
Processed scene0207_00: 1988 images saved to images.hdf5
Processed scene0248_00: 1293 images saved to images.hdf5
Processed scene0274_00: 2111 images saved to images.hdf5
Processed scene0312_00: 1190 images saved to images.hdf5
Processed scene0344_00: 830 images saved to images.hdf5
Processed scene0363_00: 1564 images saved to images.hdf5
Processed scene0397_00: 1677 images saved to images.hdf5
Processed scene0436_00: 1347 images saved to images.hdf5
Processed scene0467_00: 1866 images saved to images.hdf5
Processed scene0506_00: 857 images saved to images.hdf5
Processed scene0525_00: 1543 images saved to images.hdf5
Processed scene0555_00: 1812 images saved to images.hdf5
Processed scene0589_00: 1155 images saved to images.hdf5
Processed scene0609_00: 1091 images saved to images.hdf5
Processed scene0629_00: 2743 images saved to images.hdf5
Processed scene0689_00: 864 images saved to images.hdf5
Processed scene0699_00: 2197 images saved to images.hdf5
Processed scene0023_00: 1140 images saved to images.hdf5
Processed scene0041_00: 3259 images saved to images.hdf5
Processed scene0111_00: 2540 images saved to images.hdf5
Processed scene0172_00: 1383 images saved to images.hdf5
Processed scene0200_00: 1110 images saved to images.hdf5
Processed scene0220_00: 2669 images saved to images.hdf5
Processed scene0276_00: 2119 images saved to images.hdf5
Processed scene0317_00: 1186 images saved to images.hdf5
Processed scene0348_00: 1330 images saved to images.hdf5
Processed scene0377_00: 903 images saved to images.hdf5
Processed scene0396_00: 1102 images saved to images.hdf5
Processed scene0422_00: 2240 images saved to images.hdf5
Processed scene0472_00: 1942 images saved to images.hdf5
Processed scene0514_00: 1142 images saved to images.hdf5
Processed scene0536_00: 1036 images saved to images.hdf5
Processed scene0558_00: 707 images saved to images.hdf5
Processed scene0573_00: 819 images saved to images.hdf5
Processed scene0586_00: 1026 images saved to images.hdf5
Processed scene0602_00: 826 images saved to images.hdf5
Processed scene0615_00: 1133 images saved to images.hdf5
Processed scene0646_00: 4873 images saved to images.hdf5
Processed scene0011_00: 2374 images saved to images.hdf5
Processed scene0066_00: 1206 images saved to images.hdf5
Processed scene0093_00: 1074 images saved to images.hdf5
Processed scene0116_00: 1763 images saved to images.hdf5
Processed scene0156_00: 1223 images saved to images.hdf5
Processed scene0191_00: 1090 images saved to images.hdf5
Processed scene0210_00: 1856 images saved to images.hdf5
Processed scene0247_00: 4239 images saved to images.hdf5
Processed scene0335_00: 2413 images saved to images.hdf5
Processed scene0392_00: 2471 images saved to images.hdf5
Processed scene0446_00: 2070 images saved to images.hdf5
Processed scene0490_00: 1284 images saved to images.hdf5
Processed scene0520_00: 1095 images saved to images.hdf5
Processed scene0539_00: 2510 images saved to images.hdf5
Processed scene0590_00: 2689 images saved to images.hdf5
Processed scene0643_00: 1934 images saved to images.hdf5
Processed scene0679_00: 2943 images saved to images.hdf5
Processed scene0010_00: 2513 images saved to images.hdf5
Processed scene0068_00: 1112 images saved to images.hdf5
Processed scene0095_00: 1655 images saved to images.hdf5
Processed scene0129_00: 2117 images saved to images.hdf5
Processed scene0186_00: 2583 images saved to images.hdf5
Processed scene0237_00: 534 images saved to images.hdf5
Processed scene0250_00: 3300 images saved to images.hdf5
Processed scene0307_00: 2048 images saved to images.hdf5
Processed scene0359_00: 680 images saved to images.hdf5
Processed scene0373_00: 1207 images saved to images.hdf5
Processed scene0402_00: 732 images saved to images.hdf5
Processed scene0418_00: 3472 images saved to images.hdf5
Processed scene0497_00: 3127 images saved to images.hdf5
Processed scene0566_00: 1817 images saved to images.hdf5
Processed scene0598_00: 1001 images saved to images.hdf5
Processed scene0613_00: 6001 images saved to images.hdf5
Processed scene0014_00: 2396 images saved to images.hdf5
Processed scene0067_00: 1040 images saved to images.hdf5
Processed scene0087_00: 1396 images saved to images.hdf5
Processed scene0120_00: 908 images saved to images.hdf5
Processed scene0143_00: 240 images saved to images.hdf5
Processed scene0147_00: 1868 images saved to images.hdf5
Processed scene0198_00: 1343 images saved to images.hdf5
Processed scene0215_00: 793 images saved to images.hdf5
Processed scene0233_00: 7643 images saved to images.hdf5
Processed scene0411_00: 1409 images saved to images.hdf5
Processed scene0443_00: 417 images saved to images.hdf5
Processed scene0450_00: 818 images saved to images.hdf5
Processed scene0473_00: 1107 images saved to images.hdf5
Processed scene0494_00: 741 images saved to images.hdf5
Processed scene0512_00: 515 images saved to images.hdf5
Processed scene0521_00: 1566 images saved to images.hdf5
Processed scene0552_00: 889 images saved to images.hdf5
Processed scene0572_00: 1320 images saved to images.hdf5
Processed scene0596_00: 1088 images saved to images.hdf5
Processed scene0614_00: 945 images saved to images.hdf5
Processed scene0635_00: 1964 images saved to images.hdf5
Processed scene0680_00: 1065 images saved to images.hdf5
Processed scene0695_00: 1820 images saved to images.hdf5
Processed scene0001_00: 1544 images saved to images.hdf5
Processed scene0051_00: 1547 images saved to images.hdf5
Processed scene0082_00: 862 images saved to images.hdf5
Processed scene0105_00: 1358 images saved to images.hdf5
Processed scene0134_00: 979 images saved to images.hdf5
Processed scene0153_00: 582 images saved to images.hdf5
Processed scene0173_00: 1702 images saved to images.hdf5
Processed scene0209_00: 2046 images saved to images.hdf5
Processed scene0255_00: 1444 images saved to images.hdf5
Processed scene0279_00: 1912 images saved to images.hdf5
Processed scene0313_00: 745 images saved to images.hdf5
Processed scene0331_00: 3756 images saved to images.hdf5
Processed scene0425_00: 922 images saved to images.hdf5
Processed scene0441_00: 766 images saved to images.hdf5
Processed scene0459_00: 958 images saved to images.hdf5
Processed scene0481_00: 1104 images saved to images.hdf5
Processed scene0504_00: 2483 images saved to images.hdf5
Processed scene0554_00: 3708 images saved to images.hdf5
Processed scene0625_00: 1147 images saved to images.hdf5
Processed scene0651_00: 1037 images saved to images.hdf5
Processed scene0667_00: 4648 images saved to images.hdf5
Processed scene0017_00: 1285 images saved to images.hdf5
Processed scene0047_00: 1366 images saved to images.hdf5
Processed scene0075_00: 885 images saved to images.hdf5
Processed scene0092_00: 2235 images saved to images.hdf5
Processed scene0144_00: 1437 images saved to images.hdf5
Processed scene0174_00: 2429 images saved to images.hdf5
Processed scene0224_00: 1127 images saved to images.hdf5
Processed scene0251_00: 1542 images saved to images.hdf5
Processed scene0285_00: 1966 images saved to images.hdf5
