filename	image_sample_count	cutoff_len	preprocessing_num_workers	MAX_JOBS	dataloader_num_workers	typical_free_gb	overall_result	yaml_file	job_id	free_gb_n	cfg_source
kn041-qwen2_5vl_lora_sft_CoT_traineval-4670195.out	240	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob3.yaml	4670195	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn150-qwen2_5vl_lora_sft_CoT_traineval-4670232.out	240	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob4.yaml	4670232	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn103-qwen2_5vl_lora_sft_CoT_traineval-4670350.out	240	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob5.yaml	4670350	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn115-qwen2_5vl_lora_sft_CoT_traineval-4670386.out	360	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob6.yaml	4670386	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn122-qwen2_5vl_lora_sft_CoT_traineval-4670389.out	360	32768	32	N/A	2	N/A	CANCELLED_SIGNAL (during tokenization)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob7.yaml	4670389	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn041-qwen2_5vl_lora_sft_CoT_traineval-4670495.out	360	32768	32	16	2	14.421	TIME_LIMIT	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob8.yaml	4670495	339	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn150-qwen2_5vl_lora_sft_CoT_traineval-4670512.out	120	32768	N/A	16	2	19.247	TIME_LIMIT	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob0.yaml	4670512	772	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn103-qwen2_5vl_lora_sft_CoT_traineval-4670521.out	120	32768	N/A	16	2	19.247	TIME_LIMIT	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob1.yaml	4670521	772	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn015-qwen2_5vl_lora_sft_CoT_traineval-4670528.out	120	32768	N/A	16	2	19.247	TIME_LIMIT	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob2.yaml	4670528	768	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn041-qwen2_5vl_lora_sft_CoT_traineval-4670529.out	240	32768	32	N/A	2	N/A	CRASH (SIGBUS)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob3.yaml	4670529	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn016-qwen2_5vl_lora_sft_CoT_traineval-4670537.out	240	32768	32	16	2	18.156	CRASH (SIGBUS/shm — dataloader workers)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob4.yaml	4670537	100	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn115-qwen2_5vl_lora_sft_CoT_traineval-4670738.out	240	32768	32	16	2	N/A	CRASH (SIGBUS/shm — dataloader workers)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob5.yaml	4670738	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn104-qwen2_5vl_lora_sft_CoT_traineval-4670782.out	360	32768	32	N/A	2	N/A	CRASH (SIGBUS)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob6.yaml	4670782	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn110-qwen2_5vl_lora_sft_CoT_traineval-4670783.out	360	32768	32	N/A	2	N/A	CRASH (SIGBUS)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob7.yaml	4670783	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn113-qwen2_5vl_lora_sft_CoT_traineval-4675542.out	360	32768	N/A	16	2	14.421	TIME_LIMIT	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob8.yaml	4675542	647	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn155-qwen2_5vl_lora_sft_CoT_traineval-4675563.out	120	32768	16	16	2	N/A	CRASH (SIGBUS/shm — dataloader workers)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob0.yaml	4675563	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn103-qwen2_5vl_lora_sft_CoT_traineval-4675681.out	120	32768	16	16	2	20.013	CRASH (SIGBUS/shm — dataloader workers)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob1.yaml	4675681	100	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn097-qwen2_5vl_lora_sft_CoT_traineval-4675823.out	120	32768	16	16	2	20.011	TIME_LIMIT	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob2.yaml	4675823	235	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn123-qwen2_5vl_lora_sft_CoT_traineval-4675824.out	240	32768	16	N/A	2	N/A	CRASH (HF map worker died)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob3.yaml	4675824	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn125-qwen2_5vl_lora_sft_CoT_traineval-4675832.out	240	32768	16	N/A	2	N/A	CRASH (HF map worker died)	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob4.yaml	4675832	0	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn115-qwen2_5vl_lora_sft_CoT_traineval-4675833.out	240	32768	16	16	2	19.980	TIME_LIMIT	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob5.yaml	4675833	16	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn114-qwen2_5vl_lora_sft_CoT_traineval-4675834.out	360	32768	16	16	2	19.980	TIME_LIMIT	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob6.yaml	4675834	13	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
kn077-qwen2_5vl_lora_sft_CoT_traineval-4679338.out	360	32768	N/A	16	2	14.421	TIME_LIMIT	/project/aip-wangcs/indrisch/LLaMA-Factory/examples/train_lora/killarney_qwen2_5vl_lora_sft_CoT_traineval_resume_epoch1_arrayjob7.yaml	4679338	644	image_sample_count=yaml,cutoff_len=yaml,dataloader_num_workers=yaml
